Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Num Training Samples
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.223 [0.092, 0.359]","0.225 [0.094, 0.36]","-0.001 [-0.012, 0.014]",0.8456,512
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.785 [0.733, 0.85]","0.788 [0.735, 0.85]","-0.003 [-0.012, 0.005]",0.4346,512
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.803 [0.745, 0.866]","0.802 [0.731, 0.867]","0.002 [-0.01, 0.018]",0.8164,512
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.01 [0.007, 0.016]","0.01 [0.007, 0.016]","-0.0 [-0.001, 0.0]",0.3668,512
auprc,CLMBR_DAPT,GBM,"0.102 [0.036, 0.195]","0.063 [0.018, 0.144]","0.038 [0.016, 0.067]",0.0,2
auprc_c,CLMBR_DAPT,GBM,"0.615 [0.589, 0.651]","0.531 [0.52, 0.542]","0.084 [0.064, 0.111]",0.0,2
auroc,CLMBR_DAPT,GBM,"0.612 [0.579, 0.65]","0.543 [0.524, 0.562]","0.069 [0.048, 0.092]",0.0,2
ece,CLMBR_DAPT,GBM,"0.02 [0.009, 0.038]","0.188 [0.138, 0.232]","-0.166 [-0.206, -0.127]",0.0,2
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.202 [0.084, 0.324]","0.197 [0.079, 0.32]","0.005 [-0.006, 0.023]",0.49,128
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.777 [0.728, 0.84]","0.774 [0.726, 0.834]","0.002 [-0.008, 0.013]",0.714,128
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.798 [0.74, 0.858]","0.794 [0.731, 0.855]","0.004 [-0.005, 0.013]",0.39,128
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.01 [0.005, 0.019]","0.01 [0.005, 0.02]","-0.0 [-0.002, 0.0]",0.482,128
auprc,CLMBR_DAPT,GBM,"0.126 [0.051, 0.222]","0.069 [0.021, 0.146]","0.056 [0.026, 0.093]",0.0,8
